CustomerID,DaysSinceLast,Churned,ChurnRiskScore
12117,11,0,0.061
12118,121,1,0.672
12119,98,1,0.544
12120,275,1,1.0
12121,467,1,1.0
12122,1,1,0.006
12123,315,1,1.0
12124,47,0,0.261
12125,730,1,1.0
12126,67,1,0.372
12127,48,0,0.267
12128,12,0,0.067
12129,11,0,0.061
12130,57,0,0.317
12131,113,1,0.628
12132,61,0,0.339
12133,7,0,0.039
12134,54,0,0.3
12135,215,1,1.0
12136,457,1,1.0
12137,48,0,0.267
12138,31,0,0.172
12139,584,1,1.0
12140,5,0,0.028
12141,82,0,0.456
12142,2,0,0.011
12143,10,0,0.056
12144,20,0,0.111
12145,80,0,0.444
12146,730,1,1.0
12147,404,1,1.0
12148,5,0,0.028
12149,295,1,1.0
12150,14,0,0.078
12151,410,1,1.0
12152,16,0,0.089
12153,110,1,0.611
12154,339,1,1.0
12155,407,1,1.0
12156,293,1,1.0
12157,0,0,0.0
12158,161,1,0.894
12159,730,1,1.0
12160,142,1,0.789
12161,403,1,1.0
12162,24,0,0.133
12163,50,0,0.278
12164,453,1,1.0
12165,12,0,0.067
12166,485,1,1.0
12167,340,1,1.0
12168,88,0,0.489
12169,94,1,0.522
12170,4,0,0.022
12171,385,1,1.0
12172,495,1,1.0
12173,474,0,1.0
12174,1,0,0.006
12175,0,0,0.0
12176,48,0,0.267
12177,47,0,0.261
12178,392,1,1.0
12179,19,0,0.106
12180,47,0,0.261
12181,224,1,1.0
12182,70,0,0.389
12183,210,1,1.0
12184,3,0,0.017
12185,25,0,0.139
12186,730,1,1.0
12187,130,1,0.722
12188,18,0,0.1
12189,0,0,0.0
12190,257,1,1.0
12191,81,0,0.45
12192,288,1,1.0
12193,730,1,1.0
12194,381,1,1.0
12195,89,0,0.494
12196,3,0,0.017
12197,106,1,0.589
12198,80,0,0.444
12199,53,0,0.294
12200,18,0,0.1
12201,458,1,1.0
12202,387,1,1.0
12203,498,1,1.0
12204,35,0,0.194
12205,79,0,0.439
12206,95,1,0.528
12207,107,1,0.594
12208,319,1,1.0
12209,401,1,1.0
12210,459,1,1.0
12211,157,1,0.872
12212,502,1,1.0
12213,70,0,0.389
12214,259,1,1.0
12215,63,0,0.35
12216,579,1,1.0
12217,491,1,1.0
12218,154,0,0.856
12219,432,1,1.0
12220,59,0,0.328
12221,256,1,1.0
12222,202,1,1.0
12223,422,1,1.0
12224,72,0,0.4
12225,453,1,1.0
12226,54,0,0.3
12227,730,0,1.0
12228,88,0,0.489
12229,48,0,0.267
12230,5,0,0.028
12231,22,0,0.122
12232,268,1,1.0
12233,14,0,0.078
12234,13,0,0.072
12235,342,1,1.0
12236,295,1,1.0
12237,730,1,1.0
12238,68,0,0.378
12239,467,1,1.0
12240,64,0,0.356
12241,9,0,0.05
12242,158,1,0.878
12243,81,0,0.45
12244,59,0,0.328
12245,119,1,0.661
12246,70,1,0.389
12247,6,0,0.033
12248,730,1,1.0
12249,42,0,0.233
12250,93,1,0.517
12251,4,0,0.022
12252,730,1,1.0
12253,452,1,1.0
12254,158,1,0.878
12255,177,1,0.983
12256,95,1,0.528
12257,261,1,1.0
12258,71,1,0.394
12259,145,1,0.806
12260,87,0,0.483
12261,519,1,1.0
12262,423,1,1.0
12263,73,0,0.406
12264,78,0,0.433
12265,507,1,1.0
12266,21,0,0.117
12267,278,1,1.0
12268,553,1,1.0
12269,730,1,1.0
12270,397,1,1.0
12271,4,0,0.022
12272,428,1,1.0
12273,13,0,0.072
12274,181,1,1.0
12275,67,1,0.372
12276,139,1,0.772
12277,234,1,1.0
12278,273,1,1.0
12279,161,1,0.894
12280,356,0,1.0
12281,150,1,0.833
12282,195,1,1.0
12283,80,0,0.444
12284,113,1,0.628
12285,243,1,1.0
12286,317,1,1.0
12287,166,1,0.922
12288,224,1,1.0
12289,125,1,0.694
12290,6,0,0.033
12291,8,0,0.044
12292,4,0,0.022
12293,183,0,1.0
12294,179,1,0.994
12295,144,1,0.8
12296,0,0,0.0
12297,68,0,0.378
12298,91,0,0.506
12299,6,0,0.033
12300,62,0,0.344
12301,2,0,0.011
12302,80,0,0.444
12303,50,0,0.278
12304,89,0,0.494
12305,17,0,0.094
12306,1,0,0.006
12307,46,0,0.256
12308,66,0,0.367
12309,56,0,0.311
12310,60,0,0.333
12311,74,0,0.411
12312,3,0,0.017
12313,245,1,1.0
12314,75,0,0.417
12315,77,0,0.428
12316,2,0,0.011
12317,164,1,0.911
12318,471,1,1.0
12319,384,1,1.0
12320,423,1,1.0
12321,730,0,1.0
12322,108,1,0.6
12323,79,0,0.439
12324,18,0,0.1
12325,157,1,0.872
12326,60,0,0.333
12327,211,1,1.0
12328,69,0,0.383
12329,66,0,0.367
12330,296,1,1.0
12331,730,1,1.0
12332,326,1,1.0
12333,7,0,0.039
12334,71,0,0.394
12335,611,1,1.0
12336,1,0,0.006
12337,498,1,1.0
12338,216,1,1.0
12339,80,0,0.444
12340,87,0,0.483
12341,53,0,0.294
12342,3,1,0.017
12343,178,1,0.989
12344,457,1,1.0
12345,563,1,1.0
12346,72,0,0.4
12347,66,0,0.367
12348,77,0,0.428
12349,730,1,1.0
12350,266,1,1.0
12351,730,1,1.0
12352,88,0,0.489
12353,9,1,0.05
12354,52,1,0.289
12355,730,1,1.0
12356,308,1,1.0
12357,63,0,0.35
12358,115,1,0.639
12359,66,0,0.367
12360,168,1,0.933
12361,50,0,0.278
12362,46,0,0.256
12363,16,0,0.089
12364,259,1,1.0
12365,247,1,1.0
12366,1,0,0.006
12367,91,1,0.506
12368,171,1,0.95
12369,278,1,1.0
12370,596,1,1.0
12371,265,1,1.0
12372,730,1,1.0
12373,4,0,0.022
12374,108,1,0.6
12375,171,1,0.95
12376,209,1,1.0
12377,103,1,0.572
12378,280,1,1.0
12379,17,0,0.094
12380,548,1,1.0
12381,9,0,0.05
12382,78,0,0.433
12383,68,0,0.378
12384,410,1,1.0
12385,132,1,0.733
12386,730,1,1.0
12387,2,1,0.011
12388,40,0,0.222
12389,503,1,1.0
12390,17,0,0.094
12391,422,1,1.0
12392,56,0,0.311
12393,401,1,1.0
12394,558,1,1.0
12395,78,1,0.433
12396,338,1,1.0
12397,479,1,1.0
12398,426,1,1.0
12399,256,1,1.0
12400,35,0,0.194
12401,475,1,1.0
12402,578,1,1.0
12403,8,0,0.044
12404,268,0,1.0
12405,22,0,0.122
12406,7,0,0.039
12407,2,0,0.011
12408,307,1,1.0
12409,388,1,1.0
12410,0,0,0.0
12411,0,0,0.0
12412,730,1,1.0
12413,255,1,1.0
12414,96,1,0.533
12415,6,0,0.033
12416,45,0,0.25
12417,359,1,1.0
12418,25,0,0.139
12419,10,0,0.056
12420,113,1,0.628
12421,223,1,1.0
12422,10,0,0.056
12423,139,1,0.772
12424,45,0,0.25
12425,36,0,0.2
12426,32,0,0.178
12427,4,0,0.022
12428,34,0,0.189
12429,407,1,1.0
12430,70,0,0.389
12431,9,1,0.05
12432,5,0,0.028
12433,330,1,1.0
12434,11,0,0.061
12435,441,1,1.0
12436,126,1,0.7
12437,49,0,0.272
12438,143,1,0.794
12439,542,1,1.0
12440,196,1,1.0
12441,130,1,0.722
12442,86,0,0.478
12443,75,0,0.417
12444,185,1,1.0
12445,518,1,1.0
12446,730,1,1.0
12447,205,1,1.0
12448,20,0,0.111
12449,6,0,0.033
12450,385,1,1.0
12451,2,0,0.011
12452,99,1,0.55
12453,67,0,0.372
12454,273,1,1.0
12455,251,1,1.0
12456,70,0,0.389
12457,353,1,1.0
12458,282,1,1.0
12459,161,1,0.894
12460,323,1,1.0
12461,730,1,1.0
12462,426,1,1.0
12463,309,1,1.0
12464,154,1,0.856
12465,54,0,0.3
12466,74,0,0.411
12467,35,0,0.194
12468,141,1,0.783
12469,443,1,1.0
12470,169,1,0.939
12471,74,0,0.411
12472,330,1,1.0
12473,320,1,1.0
12474,550,1,1.0
12475,25,0,0.139
12476,388,0,1.0
12477,48,0,0.267
12478,133,1,0.739
12479,338,1,1.0
12480,90,0,0.5
12481,29,0,0.161
12482,26,0,0.144
12483,138,1,0.767
12484,60,0,0.333
12485,80,0,0.444
12486,2,0,0.011
12487,306,1,1.0
12488,1,0,0.006
12489,338,1,1.0
12490,66,0,0.367
12491,730,0,1.0
12492,64,0,0.356
12493,76,0,0.422
12494,16,0,0.089
12495,409,1,1.0
12496,19,0,0.106
12497,525,1,1.0
12498,70,0,0.389
12499,73,0,0.406
12500,117,1,0.65
12501,730,1,1.0
12502,64,0,0.356
12503,3,0,0.017
12504,292,1,1.0
12505,54,0,0.3
12506,14,0,0.078
12507,73,0,0.406
12508,69,0,0.383
12509,533,0,1.0
12510,456,1,1.0
12511,261,1,1.0
12512,81,0,0.45
12513,5,0,0.028
12514,116,1,0.644
12515,2,0,0.011
12516,74,0,0.411
12517,3,0,0.017
12518,237,1,1.0
12519,167,1,0.928
12520,98,1,0.544
12521,189,1,1.0
12522,303,1,1.0
12523,62,0,0.344
12524,128,1,0.711
12525,111,1,0.617
12526,730,1,1.0
12527,219,1,1.0
12528,461,1,1.0
12529,219,1,1.0
12530,16,0,0.089
12531,516,1,1.0
12532,97,1,0.539
12533,558,1,1.0
12534,213,1,1.0
12535,65,0,0.361
12536,379,1,1.0
12537,15,0,0.083
12538,468,1,1.0
12539,730,1,1.0
12540,1,0,0.006
12541,212,1,1.0
12542,277,1,1.0
12543,119,1,0.661
12544,730,1,1.0
12545,452,1,1.0
12546,372,1,1.0
12547,96,1,0.533
12548,77,0,0.428
12549,70,0,0.389
12550,92,1,0.511
12551,378,1,1.0
12552,46,0,0.256
12553,101,1,0.561
12554,231,1,1.0
12555,72,0,0.4
12556,247,1,1.0
12557,49,0,0.272
12558,54,0,0.3
12559,549,1,1.0
12560,41,0,0.228
12561,371,1,1.0
12562,226,1,1.0
12563,45,0,0.25
12564,730,1,1.0
12565,375,0,1.0
12566,73,0,0.406
12567,6,0,0.033
12568,7,0,0.039
12569,30,0,0.167
12570,67,0,0.372
12571,100,1,0.556
12572,730,1,1.0
12573,549,1,1.0
12574,3,0,0.017
12575,9,0,0.05
12576,514,1,1.0
12577,126,1,0.7
12578,90,0,0.5
12579,65,0,0.361
12580,2,0,0.011
12581,102,1,0.567
12582,51,1,0.283
12583,90,0,0.5
12584,258,1,1.0
12585,218,1,1.0
12586,46,0,0.256
12587,367,1,1.0
12588,111,1,0.617
12589,74,0,0.411
12590,5,0,0.028
12591,76,0,0.422
12592,187,1,1.0
12593,22,0,0.122
12594,215,1,1.0
12595,4,0,0.022
12596,235,1,1.0
12597,525,1,1.0
12598,48,0,0.267
12599,205,1,1.0
12600,0,0,0.0
12601,62,0,0.344
12602,93,1,0.517
12603,208,1,1.0
12604,24,0,0.133
12605,575,1,1.0
12606,165,1,0.917
12607,667,1,1.0
12608,71,0,0.394
12609,60,0,0.333
12610,730,1,1.0
12611,89,0,0.494
12612,730,1,1.0
12613,31,1,0.172
12614,283,1,1.0
12615,299,1,1.0
12616,81,0,0.45
12617,285,0,1.0
12618,120,1,0.667
12619,14,0,0.078
12620,340,1,1.0
12621,0,0,0.0
12622,1,0,0.006
12623,132,1,0.733
12624,288,1,1.0
12625,258,1,1.0
12626,390,1,1.0
12627,433,1,1.0
12628,63,1,0.35
12629,79,0,0.439
12630,82,0,0.456
12631,205,1,1.0
12632,18,0,0.1
12633,517,1,1.0
12634,542,1,1.0
12635,441,1,1.0
12636,401,1,1.0
12637,572,1,1.0
12638,320,1,1.0
12639,449,0,1.0
12640,5,0,0.028
12641,115,1,0.639
12642,730,1,1.0
12643,239,1,1.0
12644,337,1,1.0
12645,80,0,0.444
12646,247,1,1.0
12647,81,0,0.45
12648,41,0,0.228
12649,59,0,0.328
12650,426,1,1.0
12651,110,1,0.611
12652,7,0,0.039
12653,72,0,0.4
12654,128,1,0.711
12655,730,1,1.0
12656,309,1,1.0
12657,384,1,1.0
12658,15,0,0.083
12659,70,0,0.389
12660,37,0,0.206
12661,88,0,0.489
12662,244,1,1.0
12663,20,0,0.111
12664,79,1,0.439
12665,476,1,1.0
12666,12,0,0.067
12667,338,1,1.0
12668,71,0,0.394
12669,230,1,1.0
12670,22,0,0.122
12671,12,0,0.067
12672,9,0,0.05
12673,75,0,0.417
12674,642,1,1.0
12675,437,1,1.0
12676,636,1,1.0
12677,251,1,1.0
12678,68,0,0.378
12679,3,0,0.017
12680,2,1,0.011
12681,11,0,0.061
12682,730,1,1.0
12683,71,0,0.394
12684,213,1,1.0
12685,481,1,1.0
12686,182,1,1.0
12687,60,0,0.333
12688,4,0,0.022
12689,95,1,0.528
12690,94,1,0.522
12691,97,1,0.539
12692,3,0,0.017
12693,71,0,0.394
12694,290,1,1.0
12695,307,1,1.0
12696,19,0,0.106
12697,126,0,0.7
12698,124,1,0.689
12699,209,1,1.0
12700,46,0,0.256
12701,485,1,1.0
12702,51,0,0.283
12703,245,1,1.0
12704,316,1,1.0
12705,266,1,1.0
12706,100,1,0.556
12707,481,1,1.0
12708,452,1,1.0
12709,39,0,0.217
12710,54,0,0.3
12711,452,1,1.0
12712,163,1,0.906
12713,31,0,0.172
12714,153,1,0.85
12715,576,1,1.0
12716,26,0,0.144
12717,621,1,1.0
12718,730,1,1.0
12719,54,0,0.3
12720,45,0,0.25
12721,75,0,0.417
12722,48,0,0.267
12723,7,0,0.039
12724,245,1,1.0
12725,730,1,1.0
12726,518,1,1.0
12727,730,1,1.0
12728,520,1,1.0
12729,138,1,0.767
12730,267,1,1.0
12731,730,0,1.0
12732,53,0,0.294
12733,68,0,0.378
12734,41,0,0.228
12735,103,1,0.572
12736,37,0,0.206
12737,414,1,1.0
12738,246,1,1.0
12739,730,1,1.0
12740,368,0,1.0
12741,577,1,1.0
12742,28,0,0.156
12743,306,1,1.0
12744,0,0,0.0
12745,100,1,0.556
12746,730,1,1.0
12747,11,0,0.061
12748,413,1,1.0
12749,173,1,0.961
12750,200,1,1.0
12751,141,1,0.783
12752,58,0,0.322
12753,12,0,0.067
12754,12,0,0.067
12755,71,0,0.394
12756,84,0,0.467
12757,535,1,1.0
12758,122,1,0.678
12759,129,1,0.717
12760,311,1,1.0
12761,5,0,0.028
12762,133,1,0.739
12763,177,1,0.983
12764,450,1,1.0
12765,85,0,0.472
12766,49,0,0.272
12767,318,1,1.0
12768,48,0,0.267
12769,426,1,1.0
12770,78,0,0.433
12771,141,1,0.783
12772,73,0,0.406
12773,276,1,1.0
12774,32,0,0.178
12775,44,0,0.244
12776,75,0,0.417
12777,0,0,0.0
12778,88,0,0.489
12779,53,1,0.294
12780,75,0,0.417
12781,68,0,0.378
12782,285,1,1.0
12783,146,1,0.811
12784,230,1,1.0
12785,214,1,1.0
12786,12,0,0.067
12787,95,1,0.528
12788,147,1,0.817
12789,1,0,0.006
12790,133,1,0.739
12791,123,1,0.683
12792,9,0,0.05
12793,167,1,0.928
12794,321,1,1.0
12795,54,0,0.3
12796,131,1,0.728
12797,347,1,1.0
12798,73,0,0.406
12799,461,1,1.0
12800,14,0,0.078
12801,305,1,1.0
12802,43,0,0.239
12803,64,0,0.356
12804,435,1,1.0
12805,11,0,0.061
12806,51,0,0.283
12807,56,0,0.311
12808,75,1,0.417
12809,446,1,1.0
12810,73,0,0.406
12811,214,1,1.0
12812,70,0,0.389
12813,80,0,0.444
12814,167,1,0.928
12815,30,0,0.167
12816,125,1,0.694
12817,366,1,1.0
12818,384,0,1.0
12819,422,1,1.0
12820,57,0,0.317
12821,133,1,0.739
12822,510,1,1.0
12823,113,1,0.628
12824,98,1,0.544
12825,522,1,1.0
12826,74,0,0.411
12827,77,0,0.428
12828,12,0,0.067
12829,396,1,1.0
12830,42,0,0.233
12831,11,0,0.061
12832,160,0,0.889
12833,75,0,0.417
12834,116,1,0.644
12835,104,1,0.578
12836,529,1,1.0
12837,3,0,0.017
12838,1,0,0.006
12839,2,0,0.011
12840,502,1,1.0
12841,556,0,1.0
12842,6,0,0.033
12843,269,1,1.0
12844,83,0,0.461
12845,13,0,0.072
12846,15,0,0.083
12847,90,0,0.5
12848,93,1,0.517
12849,94,0,0.522
12850,79,0,0.439
12851,93,1,0.517
12852,730,0,1.0
12853,201,1,1.0
12854,404,1,1.0
12855,560,1,1.0
12856,143,1,0.794
12857,384,1,1.0
12858,88,0,0.489
12859,307,1,1.0
12860,143,1,0.794
12861,188,1,1.0
12862,458,1,1.0
12863,96,1,0.533
12864,554,1,1.0
12865,446,1,1.0
12866,54,0,0.3
12867,5,0,0.028
12868,0,0,0.0
12869,231,1,1.0
12870,57,0,0.317
12871,5,0,0.028
12872,22,0,0.122
12873,295,1,1.0
12874,0,0,0.0
12875,55,0,0.306
12876,98,0,0.544
12877,68,0,0.378
12878,1,0,0.006
12879,54,0,0.3
12880,53,0,0.294
12881,437,1,1.0
12882,73,0,0.406
12883,269,1,1.0
12884,730,1,1.0
12885,429,1,1.0
12886,323,1,1.0
12887,419,1,1.0
12888,373,1,1.0
12889,226,1,1.0
12890,269,1,1.0
12891,429,1,1.0
12892,269,1,1.0
12893,194,1,1.0
12894,59,0,0.328
12895,133,1,0.739
12896,86,0,0.478
12897,80,0,0.444
12898,38,0,0.211
12899,403,1,1.0
12900,67,0,0.372
12901,112,1,0.622
12902,22,0,0.122
12903,43,0,0.239
12904,267,1,1.0
12905,82,0,0.456
12906,14,0,0.078
12907,84,0,0.467
12908,81,0,0.45
12909,730,1,1.0
12910,284,1,1.0
12911,485,1,1.0
12912,412,1,1.0
12913,730,1,1.0
12914,162,1,0.9
12915,10,0,0.056
12916,142,1,0.789
12917,338,1,1.0
12918,74,0,0.411
12919,10,0,0.056
12920,0,0,0.0
12921,110,1,0.611
12922,296,1,1.0
12923,0,0,0.0
12924,531,1,1.0
12925,389,1,1.0
12926,40,0,0.222
12927,10,0,0.056
12928,61,0,0.339
12929,92,1,0.511
12930,73,0,0.406
12931,58,1,0.322
12932,283,1,1.0
12933,80,0,0.444
12934,64,0,0.356
12935,503,1,1.0
12936,45,0,0.25
12937,56,0,0.311
12938,32,0,0.178
12939,730,1,1.0
12940,251,1,1.0
12941,59,0,0.328
12942,141,1,0.783
12943,363,1,1.0
12944,100,1,0.556
12945,232,1,1.0
12946,574,1,1.0
12947,167,1,0.928
12948,69,0,0.383
12949,47,0,0.261
12950,430,1,1.0
12951,42,0,0.233
12952,55,0,0.306
12953,86,0,0.478
12954,11,0,0.061
12955,668,1,1.0
12956,94,1,0.522
12957,92,1,0.511
12958,44,0,0.244
12959,88,0,0.489
12960,7,0,0.039
12961,100,1,0.556
12962,158,1,0.878
12963,1,0,0.006
12964,6,0,0.033
12965,47,0,0.261
12966,180,1,1.0
12967,71,0,0.394
12968,103,1,0.572
12969,125,1,0.694
12970,350,1,1.0
12971,129,1,0.717
12972,178,1,0.989
12973,20,0,0.111
12974,11,0,0.061
12975,30,0,0.167
12976,232,1,1.0
12977,279,0,1.0
12978,6,0,0.033
12979,375,1,1.0
12980,88,0,0.489
12981,322,1,1.0
12982,586,1,1.0
12983,121,1,0.672
12984,7,0,0.039
12985,21,0,0.117
12986,122,1,0.678
12987,124,1,0.689
12988,71,0,0.394
12989,13,1,0.072
12990,3,0,0.017
12991,123,1,0.683
12992,730,1,1.0
12993,514,1,1.0
12994,29,0,0.161
12995,84,0,0.467
12996,90,0,0.5
12997,101,1,0.561
12998,140,1,0.778
12999,55,0,0.306
13000,5,1,0.028
13001,89,0,0.494
13002,122,1,0.678
13003,112,1,0.622
13004,8,0,0.044
13005,730,1,1.0
13006,340,1,1.0
13007,270,1,1.0
13008,49,0,0.272
13009,210,1,1.0
13010,109,1,0.606
13011,77,0,0.428
13012,73,0,0.406
13013,163,1,0.906
13014,261,1,1.0
13015,167,1,0.928
13016,13,0,0.072
13017,272,1,1.0
13018,15,0,0.083
13019,397,1,1.0
13020,23,0,0.128
13021,730,1,1.0
13022,92,1,0.511
13023,730,1,1.0
13024,280,1,1.0
13025,4,0,0.022
13026,18,0,0.1
13027,424,1,1.0
13028,595,1,1.0
13029,372,1,1.0
13030,13,0,0.072
13031,427,0,1.0
13032,76,0,0.422
13033,7,0,0.039
13034,111,1,0.617
13035,67,0,0.372
13036,65,0,0.361
13037,1,0,0.006
13038,377,1,1.0
13039,80,0,0.444
13040,139,1,0.772
13041,130,1,0.722
13042,1,0,0.006
13043,111,1,0.617
13044,166,1,0.922
13045,312,1,1.0
13046,27,0,0.15
13047,85,0,0.472
13048,469,1,1.0
13049,51,0,0.283
13050,486,1,1.0
13051,181,1,1.0
13052,336,1,1.0
13053,209,0,1.0
13054,28,0,0.156
13055,104,1,0.578
13056,425,1,1.0
13057,437,1,1.0
13058,57,0,0.317
13059,6,0,0.033
13060,340,1,1.0
13061,33,0,0.183
13062,120,1,0.667
13063,0,0,0.0
13064,74,0,0.411
13065,222,1,1.0
13066,730,1,1.0
13067,347,1,1.0
13068,597,1,1.0
13069,730,1,1.0
13070,649,1,1.0
13071,36,0,0.2
13072,285,1,1.0
13073,9,0,0.05
13074,132,1,0.733
13075,7,0,0.039
13076,107,1,0.594
13077,8,0,0.044
13078,110,1,0.611
13079,88,0,0.489
13080,78,0,0.433
13081,387,1,1.0
13082,47,0,0.261
13083,42,0,0.233
13084,19,0,0.106
13085,69,1,0.383
13086,76,0,0.422
13087,418,1,1.0
13088,223,1,1.0
13089,42,0,0.233
13090,271,1,1.0
13091,376,1,1.0
13092,116,1,0.644
13093,164,1,0.911
13094,126,1,0.7
13095,81,0,0.45
13096,108,1,0.6
13097,76,0,0.422
13098,200,1,1.0
13099,98,1,0.544
13100,80,0,0.444
13101,5,0,0.028
13102,144,1,0.8
13103,48,0,0.267
13104,1,0,0.006
13105,24,0,0.133
13106,198,1,1.0
13107,1,0,0.006
13108,107,1,0.594
13109,11,0,0.061
13110,2,0,0.011
13111,8,0,0.044
13112,49,0,0.272
13113,124,1,0.689
13114,265,1,1.0
13115,242,1,1.0
13116,59,0,0.328
13117,4,0,0.022
13118,293,1,1.0
13119,70,0,0.389
13120,53,0,0.294
13121,41,0,0.228
13122,299,1,1.0
13123,99,1,0.55
13124,7,1,0.039
13125,15,0,0.083
13126,730,1,1.0
13127,26,0,0.144
13128,74,0,0.411
13129,24,0,0.133
13130,458,1,1.0
13131,108,1,0.6
13132,288,1,1.0
13133,185,1,1.0
13134,295,1,1.0
13135,217,1,1.0
13136,58,0,0.322
13137,45,0,0.25
13138,326,1,1.0
13139,45,0,0.25
13140,8,0,0.044
13141,313,1,1.0
13142,47,0,0.261
13143,54,0,0.3
13144,468,1,1.0
13145,50,0,0.278
13146,8,0,0.044
13147,116,1,0.644
13148,363,0,1.0
13149,294,1,1.0
13150,4,0,0.022
13151,403,1,1.0
13152,296,1,1.0
13153,340,1,1.0
13154,61,0,0.339
13155,366,0,1.0
13156,124,1,0.689
13157,60,0,0.333
13158,169,1,0.939
13159,27,0,0.15
13160,69,0,0.383
13161,0,0,0.0
13162,15,0,0.083
13163,38,0,0.211
13164,199,1,1.0
13165,18,0,0.1
13166,266,1,1.0
13167,11,0,0.061
13168,465,1,1.0
13169,57,0,0.317
13170,730,1,1.0
13171,82,0,0.456
13172,4,0,0.022
13173,69,0,0.383
13174,55,0,0.306
13175,249,1,1.0
13176,36,0,0.2
13177,32,1,0.178
13178,406,1,1.0
13179,333,1,1.0
13180,17,0,0.094
13181,535,1,1.0
13182,0,0,0.0
13183,188,1,1.0
13184,442,1,1.0
13185,20,0,0.111
13186,3,0,0.017
13187,247,1,1.0
13188,730,1,1.0
13189,73,0,0.406
13190,730,1,1.0
13191,64,0,0.356
13192,397,1,1.0
13193,13,0,0.072
13194,10,0,0.056
13195,402,1,1.0
13196,484,1,1.0
13197,730,1,1.0
13198,218,1,1.0
13199,55,0,0.306
13200,137,1,0.761
13201,147,1,0.817
13202,195,0,1.0
13203,730,1,1.0
13204,84,0,0.467
13205,225,1,1.0
13206,60,0,0.333
13207,14,0,0.078
13208,11,0,0.061
13209,39,0,0.217
13210,72,0,0.4
13211,35,0,0.194
13212,145,1,0.806
13213,78,0,0.433
13214,115,1,0.639
13215,50,0,0.278
13216,730,1,1.0
13217,64,0,0.356
13218,4,0,0.022
13219,3,0,0.017
13220,505,1,1.0
13221,84,0,0.467
13222,0,0,0.0
13223,730,1,1.0
13224,294,1,1.0
13225,143,1,0.794
13226,109,1,0.606
13227,652,1,1.0
13228,5,0,0.028
13229,110,1,0.611
13230,147,1,0.817
13231,74,0,0.411
13232,0,0,0.0
13233,135,1,0.75
13234,539,1,1.0
13235,0,0,0.0
13236,730,1,1.0
13237,0,0,0.0
13238,369,1,1.0
13239,82,0,0.456
13240,41,0,0.228
13241,248,1,1.0
13242,158,1,0.878
13243,3,0,0.017
13244,57,0,0.317
13245,0,0,0.0
13246,230,1,1.0
13247,142,1,0.789
13248,261,1,1.0
13249,502,1,1.0
13250,66,0,0.367
13251,432,1,1.0
13252,273,1,1.0
13253,730,1,1.0
13254,495,1,1.0
13255,200,1,1.0
13256,148,0,0.822
13257,284,1,1.0
13258,201,0,1.0
13259,13,0,0.072
13260,730,1,1.0
13261,55,0,0.306
13262,411,1,1.0
13263,9,0,0.05
13264,4,0,0.022
13265,103,1,0.572
13266,160,1,0.889
